q_index,cluster_id,cluster_size,weight
1,0,82,1.0
2,0,82,1.0
3,0,82,1.0
6,0,82,1.0
9,0,82,1.0
11,0,82,0.8946745562130178
12,0,82,0.0
13,0,82,1.0
14,0,82,1.0
15,0,82,0.9818181818181818
16,0,82,1.0
18,0,82,1.0
20,0,82,1.0
21,0,82,0.9234272221285208
24,0,82,0.0
26,0,82,1.0
27,0,82,0.9836065573770492
28,0,82,1.0
29,0,82,0.0
30,0,82,0.9803921568627451
34,0,82,0.0
35,0,82,0.0
38,0,82,0.98
40,0,82,0.0
41,0,82,1.0
44,0,82,0.9712245326612057
45,0,82,0.0
48,0,82,0.8532031025567365
49,0,82,1.0
50,0,82,1.0
51,0,82,0.0
52,0,82,0.0
53,0,82,1.0
56,0,82,0.9267097349075518
57,0,82,1.0
58,0,82,0.9807692307692307
59,0,82,1.0
60,0,82,1.0
61,0,82,1.0
62,0,82,1.0
66,0,82,0.0
68,0,82,0.9666666666666667
69,0,82,0.0
76,0,82,1.0
78,0,82,0.8137996219281662
79,0,82,0.0
80,0,82,0.0
83,0,82,0.9534883720930233
84,0,82,1.0
86,0,82,0.0
87,0,82,0.9329803719008265
90,0,82,0.89413988657845
92,0,82,1.0
93,0,82,0.0
99,0,82,0.0
103,0,82,0.9846153846153847
105,0,82,0.926954732510288
106,0,82,1.0
109,0,82,1.0
110,0,82,0.0
114,0,82,0.0
116,0,82,0.0
118,0,82,0.9591836734693877
122,0,82,0.9070294784580498
125,0,82,0.0
127,0,82,0.0
128,0,82,0.0
129,0,82,0.9846153846153847
132,0,82,0.0
134,0,82,0.9777777777777777
139,0,82,0.9512195121951219
140,0,82,1.0
146,0,82,0.9743589743589743
147,0,82,0.9859154929577465
151,0,82,0.9795918367346939
152,0,82,0.8517011834319527
154,0,82,0.0
156,0,82,1.0
160,0,82,0.0
162,0,82,0.9751562500000001
163,0,82,1.0
164,0,82,0.9459560893225746
8,1,8,1.0
74,1,8,0.9859154929577465
98,1,8,0.8456632653061225
112,1,8,0.853869572183945
141,1,8,0.9267097349075518
148,1,8,0.9534883720930233
157,1,8,1.0
158,1,8,0.9122298952996214
25,2,9,0.9821428571428571
31,2,9,1.0
36,2,9,0.9652200677131424
39,2,9,0.8543965824136703
55,2,9,0.9811320754716981
63,2,9,0.9523809523809523
72,2,9,0.9636363636363636
73,2,9,0.8489042675893888
124,2,9,0.9256198347107438
47,3,1,1.0
64,4,2,1.0
135,4,2,1.0
88,5,3,1.0
100,5,3,1.0
130,5,3,0.5119113573407202
7,6,15,0.9603999999999999
10,6,15,0.9583333333333334
17,6,15,0.9497270899166906
22,6,15,0.9165912177455863
67,6,15,0.7187565637471119
70,6,15,0.9705882352941176
75,6,15,0.8418522672648614
89,6,15,1.0
115,6,15,1.0
119,6,15,0.888470841171728
133,6,15,1.0
142,6,15,0.8204158790170132
145,6,15,1.0
159,6,15,1.0
161,6,15,0.8373964497041421
94,7,1,1.0
19,8,11,0.8402203856749311
71,8,11,0.8892805640121775
81,8,11,0.8035077288941737
82,8,11,0.9084201388888888
91,8,11,0.7555029585798817
107,8,11,0.774
108,8,11,1.0
113,8,11,0.9023999999999999
121,8,11,0.9911504424778761
126,8,11,0.9470663265306122
155,8,11,1.0
120,9,1,1.0
4,10,8,0.9053254437869822
23,10,8,0.7696793002915452
33,10,8,0.9836065573770492
37,10,8,0.8555555555555555
46,10,8,0.9838709677419355
54,10,8,0.9335281227173119
131,10,8,0.8579881656804734
136,10,8,0.9444444444444444
32,11,4,0.8252330886728824
65,11,4,0.9830508474576272
85,11,4,0.9376702451530203
149,11,4,0.9811320754716981
5,12,12,0.864114263043047
42,12,12,0.6862745098039216
43,12,12,0.8204158790170132
96,12,12,0.9070294784580498
97,12,12,0.7985513807152557
102,12,12,0.8667617335234671
104,12,12,0.9205624543462381
117,12,12,0.806952025280092
137,12,12,0.9298245614035088
138,12,12,0.7511111111111112
143,12,12,0.8984375
153,12,12,0.8841612831365561
95,13,5,0.7420118343195267
101,13,5,0.9057918420670634
123,13,5,0.8728836334318731
144,13,5,0.9194436979306638
150,13,5,0.9050925925925926
111,14,1,0.8304758852747958
77,15,1,0.759167043911272
