source,target,n_samples,source_nodes,target_nodes,source_target_jaccard,suff_median,delta_vs_random_median,suff_vs_within_ratio,delta_vs_within_ratio
cluster_2,cluster_10,11,4,4,1.0,0.8829787234042553,0.7833333333333333,0.9301607925937957,0.9088949605343049
cluster_2,cluster_0,10,4,4,1.0,0.925033921302578,0.8773837403813984,0.9744632148072959,1.0180208426647557
cluster_2,cluster_1,8,4,4,0.3333333333333333,0.8472027972027972,0.648951048951049,0.8924731756792826,0.7529723464149695
cluster_10,cluster_2,12,4,4,1.0,0.9492753623188406,0.7296657793552204,1.0750829404574822,1.0050113564703977
cluster_10,cluster_0,10,4,4,1.0,0.925033921302578,0.8796443315338203,1.0476287783426788,1.211585588716394
cluster_10,cluster_1,8,4,4,0.3333333333333333,0.8472027972027972,0.8938461538461537,0.9594826859887101,1.2311465892597966
cluster_0,cluster_2,12,4,4,1.0,0.9492753623188406,0.9807692307692307,1.0262060022427364,1.2677710078700177
cluster_0,cluster_10,11,4,4,1.0,0.8829787234042553,0.7547169811320754,0.9545365884106142,0.9755692550387114
cluster_0,cluster_1,8,4,4,0.3333333333333333,0.8472027972027972,0.7604545454545455,0.9158613297227159,0.9829857985798581
cluster_1,cluster_2,12,4,4,0.3333333333333333,0.6639784946236559,0.5573426573426574,1.0067213564245643,1.0680900279042445
cluster_1,cluster_10,11,4,4,0.3333333333333333,0.6607142857142857,0.5774647887323944,1.0017721768238652,1.1066520284875652
cluster_1,cluster_0,10,4,4,0.3333333333333333,0.6661532537543319,0.6918908069048575,1.010018716925934,1.325937753943275
