source_a,source_b,source_a_nodes,source_b_nodes,intersection,union,jaccard
cluster_12,cluster_12,14,14,14,14,1.0
cluster_12,cluster_2,14,14,10,18,0.5555555555555556
cluster_12,cluster_10,14,14,8,20,0.4
cluster_12,cluster_0,14,14,9,19,0.47368421052631576
cluster_12,cluster_1,14,14,9,19,0.47368421052631576
cluster_12,global_core,14,10,7,17,0.4117647058823529
cluster_2,cluster_2,14,14,14,14,1.0
cluster_2,cluster_10,14,14,11,17,0.6470588235294118
cluster_2,cluster_0,14,14,11,17,0.6470588235294118
cluster_2,cluster_1,14,14,10,18,0.5555555555555556
cluster_2,global_core,14,10,9,15,0.6
cluster_10,cluster_10,14,14,14,14,1.0
cluster_10,cluster_0,14,14,12,16,0.75
cluster_10,cluster_1,14,14,11,17,0.6470588235294118
cluster_10,global_core,14,10,10,14,0.7142857142857143
cluster_0,cluster_0,14,14,14,14,1.0
cluster_0,cluster_1,14,14,12,16,0.75
cluster_0,global_core,14,10,9,15,0.6
cluster_1,cluster_1,14,14,14,14,1.0
cluster_1,global_core,14,10,9,15,0.6
global_core,global_core,10,10,10,10,1.0
