edge,src,dst,edge_ratio_median,positive_frac,source_ratio_median,blocked_ratio_median,keep_after_threshold,keep_final,drop_reason
L23H6->L24H6,L23H6,L24H6,0.16666666666666669,1.0,0.30242329489935504,0.14017543859649123,1,1,
L21H1->L24H6,L21H1,L24H6,0.22305140961857378,1.0,0.48148148148148145,0.2714987714987715,1,1,
L24H6->Residual Output: <tool_call>,L24H6,Residual Output: <tool_call>,0.3621460506706409,1.0,0.3621460506706409,0.0,1,1,
L21H12->MLP27,L21H12,MLP27,0.20604631217838767,1.0,0.48280885780885785,0.2707283554741182,1,1,
L21H1->L23H6,L21H1,L23H6,0.08565663976522378,1.0,0.48148148148148145,0.3985294117647059,1,1,
L21H12->L24H6,L21H12,L24H6,0.195134849286092,1.0,0.48280885780885785,0.2797058823529412,1,1,
L17H8->L20H5,L17H8,L20H5,0.03125,0.8492063492063492,0.3809090909090909,0.3442622950819672,0,0,edge_ratio<= 0.0500
L20H5->L21H12,L20H5,L21H12,0.08054054054054055,0.9920634920634921,0.2867965367965368,0.21846590909090907,1,0,dropped_by_input_output_path
MLP27->Residual Output: <tool_call>,MLP27,Residual Output: <tool_call>,0.378334417696812,1.0,0.378334417696812,0.0,1,1,
L17H8->L21H12,L17H8,L21H12,0.09175084175084176,1.0,0.3809090909090909,0.2807017543859649,1,1,
L20H5->L21H1,L20H5,L21H1,0.06997144022847816,0.9920634920634921,0.2867965367965368,0.23235049833887045,1,0,dropped_by_input_output_path
L17H8->L21H1,L17H8,L21H1,0.1147540983606557,1.0,0.3809090909090909,0.26013698630136983,1,1,
L21H1->MLP27,L21H1,MLP27,0.2322210987529491,1.0,0.48148148148148145,0.2510504201680672,1,1,
L21H12->L23H6,L21H12,L23H6,0.07504928189242466,1.0,0.48280885780885785,0.4,1,1,
L21H1->MLP22,L21H1,MLP22,0.0454545454545455,0.9365079365079365,0.48148148148148145,0.43107088989441933,0,0,edge_ratio<= 0.0500
L21H12->MLP22,L21H12,MLP22,0.043015726179463476,0.9841269841269841,0.48280885780885785,0.42678571428571427,0,0,edge_ratio<= 0.0500
MLP22->L24H6,MLP22,L24H6,0.10367218987908644,0.9841269841269841,0.21719901719901719,0.11010101010101009,1,0,dropped_by_input_output_path
L24H6->MLP27,L24H6,MLP27,0.18518518518518517,1.0,0.3621460506706409,0.17138490164805953,1,1,
L23H6->Residual Output: <tool_call>,L23H6,Residual Output: <tool_call>,0.30242329489935504,1.0,0.30242329489935504,0.0,1,1,
Input Embed->L17H8,Input Embed,L17H8,0.28960573476702506,1.0,1.0,0.7103942652329749,1,1,
