contrast,group,metric,delta_median_boot_mean,ci_lo,ci_hi,n
user_json_pad-orig,full_core,suff_ratio,0.06128562469245488,0.04173259493670878,0.07786589762076424,119
user_json_pad-orig,full_core,nec_ratio,0.02964172702625204,0.00537412153782546,0.05143540669856439,119
user_json_pad-orig,all_heads,drop_full_nec,-0.20433829683636773,-0.2204878048780487,-0.185852981969487,119
user_json_pad-orig,all_heads,drop_full_nec_abs,-1.0245625,-1.2500000000000002,-0.8125,119
user_json_pad-orig,all_mlps,drop_full_nec,0.22556710931086388,0.19419306184012058,0.2502443792766373,119
user_json_pad-orig,all_mlps,drop_full_nec_abs,1.8038124999999992,1.4999999999999996,2.0625,119
user_json_pad-orig,stable_necessary_backbone,drop_full_nec,-0.16644357589254716,-0.1779904306220096,-0.15679908326967174,119
user_json_pad-orig,stable_necessary_backbone,drop_full_nec_abs,-0.9765625000000002,-1.125,-0.8749999999999993,119
user_json_pad-orig,stable_but_weak_or_redundant,drop_full_nec,-0.08855482482385807,-0.13211382113821118,-0.0523767605633802,119
user_json_pad-orig,stable_but_weak_or_redundant,drop_full_nec_abs,-0.6956874999999993,-0.9999999999999993,-0.37499999999999956,119
user_pad_short-orig,full_core,suff_ratio,0.1920260232322697,0.147560975609756,0.2520408163265305,119
user_pad_short-orig,full_core,nec_ratio,0.14605390447442015,0.07352941176470584,0.2009803921568628,119
user_pad_short-orig,all_heads,drop_full_nec,-0.08081867571920039,-0.11347517730496448,-0.030379746835442922,119
user_pad_short-orig,all_heads,drop_full_nec_abs,-2.121,-2.375,-1.8750000000000007,119
user_pad_short-orig,all_mlps,drop_full_nec,0.37477289660587954,0.33559322033898287,0.425,119
user_pad_short-orig,all_mlps,drop_full_nec_abs,1.5672499999999996,1.3749999999999991,1.7499999999999998,119
user_pad_short-orig,stable_necessary_backbone,drop_full_nec,0.015369509064151108,-0.01470588235294118,0.0677083333333332,119
user_pad_short-orig,stable_necessary_backbone,drop_full_nec_abs,-1.151875,-1.3749999999999991,-0.9999999999999998,119
user_pad_short-orig,stable_but_weak_or_redundant,drop_full_nec,0.15134473278603802,0.1181001283697049,0.1853146853146853,119
user_pad_short-orig,stable_but_weak_or_redundant,drop_full_nec_abs,0.18825000000000036,2.220446049250313e-16,0.37500000000000044,119
