rank,tail,source,target,source_target_jaccard,suff_vs_within_ratio,delta_vs_within_ratio,suff_median,delta_vs_random_median
1,low,cluster_1,cluster_10,0.5,0.8818366131719089,1.013179147611356,0.8288288288288288,0.543424317617866
2,low,cluster_8,cluster_2,0.6,0.8819776714513556,0.6726190476190477,0.8484848484848485,0.380952380952381
3,low,cluster_8,cluster_10,0.4444444444444444,0.901579540066382,0.7518458104395603,0.8673423423423423,0.4258241758241757
4,low,cluster_12,cluster_2,0.4444444444444444,0.9017294181228608,0.9435215946843852,0.8571428571428571,0.6666666666666666
5,low,cluster_12,cluster_10,0.5555555555555556,0.9128983799502476,0.5609719737626714,0.86775956284153,0.3963675213675214
6,low,cluster_1,cluster_2,0.5625,0.9234326798309612,0.8794503241306464,0.8679245283018868,0.4716981132075472
7,low,cluster_6,cluster_10,0.5294117647058824,0.9293511096789786,1.1092442645074223,0.851905183872397,0.6198717948717949
8,low,cluster_8,cluster_0,0.5294117647058824,0.9404761904761904,1.0089285714285714,0.9047619047619048,0.5714285714285714
9,low,cluster_0,cluster_2,0.625,0.9464285714285714,0.7641325536062378,0.9464285714285714,0.4912280701754386
10,low,cluster_6,cluster_2,0.5,0.9468267581475128,1.0225563909774436,0.8679245283018868,0.5714285714285714
11,low,cluster_0,cluster_10,0.6470588235294118,0.9502732240437158,1.069664902998236,0.9502732240437158,0.687641723356009
12,low,cluster_1,cluster_0,0.5,0.9654406882129656,1.196052440817679,0.9074074074074074,0.6415094339622641
1,high,cluster_2,cluster_6,0.5,1.0905550146056475,1.0689265536723165,1.0126582278481011,0.728813559322034
2,high,cluster_2,cluster_0,0.625,1.0769230769230769,1.0830769230769233,1.0,0.7384615384615385
3,high,cluster_2,cluster_12,0.4444444444444444,1.0769230769230769,0.8882786676837021,1.0,0.6056445461479787
4,high,cluster_10,cluster_6,0.5294117647058824,1.0708016383850203,0.9167861184458694,1.0,0.4
5,high,cluster_2,cluster_1,0.5625,1.0617551462621886,0.9757629280737908,0.9859154929577464,0.6652929055048573
6,high,cluster_2,cluster_8,0.6,1.0606060606060606,1.0246575342465754,0.9848484848484848,0.6986301369863013
7,high,cluster_10,cluster_12,0.5555555555555556,1.056331345974412,1.1586819238558443,0.9864864864864864,0.5055407801418439
8,high,cluster_10,cluster_8,0.4444444444444444,1.04938560561732,1.3222876708353888,0.98,0.576923076923077
9,high,cluster_10,cluster_0,0.6470588235294118,1.0440315974253949,1.453441407292232,0.975,0.6341463414634146
10,high,cluster_10,cluster_1,0.5,1.0388374103735272,1.4361798044129417,0.9701492537313432,0.6266149870801034
11,high,cluster_6,cluster_8,0.6,1.0356731875719218,0.696786213320913,0.9493670886075948,0.3893805309734514
12,high,cluster_12,cluster_1,0.5882352941176471,1.0297919293820934,0.9759872156104124,0.9788732394366196,0.6896059903726155
