node,drop_full_nec_median_gap05,drop_full_suff_median_gap05,node_suff_median_gap05,node_nec_median_gap05,drop_full_nec_median_gap08,drop_full_suff_median_gap08,node_suff_median_gap08,node_nec_median_gap08,drop_full_nec_median_delta_08_minus_05,drop_full_suff_median_delta_08_minus_05,node_suff_median_delta_08_minus_05,node_nec_median_delta_08_minus_05
MLP11,0.0151515151515151,0.0151515151515151,0.1,0.109090909090909,0.0148221343873517,0.0150384441429217,0.1,0.11010101010101,-0.00032938076416339987,-0.00011307100859339961,0.0,0.0010101010101010027
L17H8,0.04,0.0357142857142858,0.379746835443038,0.2950819672131147,0.04,0.0354010025062657,0.3792673571154584,0.2945998071359691,0.0,-0.0003132832080201056,-0.00047947832757960773,-0.00048216007714557696
MLP20,-0.0370370370370369,-0.0327868852459016,0.1147540983606557,0.0579710144927536,-0.0370370370370369,-0.0327868852459016,0.1150693568726355,0.0567632850241545,0.0,0.0,0.0003152585119798046,-0.0012077294685991016
L20H5,0.0181818181818181,0.0175438596491227,0.2878787878787879,0.1940298507462686,0.0181818181818181,0.0172465060957478,0.2867965367965368,0.1937891189215214,0.0,-0.0002973535533748982,-0.0010822510822510734,-0.000240731824747209
L21H1,0.0363636363636363,0.0294117647058823,0.4814814814814814,0.234375,0.036038961038961,0.0294117647058823,0.4807407407407407,0.234375,-0.00032467532467529703,0.0,-0.0007407407407407085,0.0
L21H12,0.0833333333333333,0.0566037735849056,0.4848484848484848,0.2368421052631578,0.0827625570776255,0.0564709008769598,0.4831649831649831,0.2366028708133971,-0.0005707762557077972,-0.00013287270794579836,-0.0016835016835017313,-0.00023923444976070574
MLP22,-0.020408163265306,0.0,0.2181818181818181,0.0821917808219178,-0.0194633408919123,0.0,0.2181818181818181,0.0820794969683359,0.0009448223733936993,0.0,0.0,-0.00011228385358190429
L23H6,0.0222222222222221,0.0204081632653061,0.3025210084033613,0.1506849315068493,0.0222222222222222,0.0204081632653061,0.302423294899355,0.1503424657534246,9.71445146547012e-17,0.0,-9.771350400633594e-05,-0.00034246575342469776
L24H6,0.0,0.0,0.3661971830985915,0.25,0.0,0.0,0.3667720609370509,0.2479508196721311,0.0,0.0,0.0005748778384593867,-0.0020491803278689102
MLP27,-0.0227272727272727,0.0,0.3793103448275862,0.3035714285714285,-0.0215677179962893,0.0,0.3796551724137931,0.3035714285714285,0.001159554730983399,0.0,0.00034482758620690834,0.0
