node,n,delta_drop_full_nec_mean,ci_lo,ci_hi,orig_median,json_median
MLP27,139,0.15167754433939984,0.1330858960763519,0.1642819289878112,-0.0227272727272727,0.1302083333333332
MLP20,139,0.11821082289560023,0.106804478897502,0.1289289289289287,-0.0370370370370369,0.0824742268041236
MLP22,139,0.013288743181756192,0.0035236081747709,0.0227272727272727,-0.020408163265306,-0.0076923076923076
L23H6,139,0.002333278474808488,-0.0016081871345029024,0.0059467918622849,0.0222222222222221,0.0246913580246913
L20H5,139,-0.015864679356512163,-0.02,-0.010333994708994699,0.0181818181818181,0.0
L21H1,139,-0.022037091405436592,-0.0271739130434783,-0.0161290322580645,0.0363636363636363,0.0140845070422535
L17H8,139,-0.02391092426873553,-0.029151119402985003,-0.0193439865433138,0.04,0.0163934426229508
MLP11,139,-0.027611425098740823,-0.0351515151515151,-0.0137614678899082,0.0151515151515151,-0.0131578947368421
L24H6,139,-0.04385355907685083,-0.056524926686217,-0.0338983050847457,0.0,-0.0422535211267605
L21H12,139,-0.07171255947029767,-0.07898715041572181,-0.0665883274578928,0.0833333333333333,0.0126582278481013
