node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff,stability_freq,stratum
L21H12,Format Router / Target+Suppressor,139,0.4848484848484848,0.4634146341463415,0.5,0.2368421052631578,0.2244897959183673,0.2535211267605634,0.8518518518518519,0.8360655737704918,0.0566037735849056,0.0526315789473683,0.0615384615384615,0.0833333333333333,0.0793650793650794,0.0909090909090909,1,1,1.0,stable_necessary_backbone
L17H8,Format Router / Target+Suppressor,139,0.379746835443038,0.3698630136986301,0.391304347826087,0.2950819672131147,0.2835820895522388,0.3050847457627119,0.8727272727272727,0.8846153846153846,0.0357142857142858,0.027027027027027,0.04,0.04,0.0365853658536585,0.044776119402985,2,3,1.0,stable_necessary_backbone
L21H1,Format Router / Target+Suppressor,139,0.4814814814814814,0.4655172413793103,0.5,0.234375,0.2236842105263158,0.2459016393442623,0.8767123287671232,0.8902439024390244,0.0294117647058823,0.0253164556962025,0.0327868852459016,0.0363636363636363,0.0294117647058823,0.0408163265306121,3,2,1.0,stable_necessary_backbone
L23H6,Format Router / Distractor Suppressor,139,0.3025210084033613,0.2962962962962963,0.3125,0.1506849315068493,0.1470588235294117,0.1594202898550724,0.8860759493670886,0.9,0.0204081632653061,0.0185185185185184,0.0224719101123596,0.0222222222222221,0.0202020202020203,0.0253164556962025,4,6,1.0,stable_necessary_backbone
L20H5,Query Reader / Distractor Suppressor,139,0.2878787878787879,0.2794117647058823,0.3043478260869565,0.1940298507462686,0.1851851851851851,0.2016806722689075,0.8888888888888888,0.903846153846154,0.0175438596491227,0.0140845070422535,0.0192307692307692,0.0181818181818181,0.0149253731343284,0.02,5,7,1.0,stable_but_weak_or_redundant
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.3661971830985915,0.3275862068965517,0.3934426229508196,0.25,0.2340425531914893,0.2711864406779661,0.9078947368421052,0.9117647058823528,0.0,0.0,0.0,0.0,0.0,0.0147058823529411,7,5,1.0,stable_but_weak_or_redundant
MLP22,Support Suppressor MLP,139,0.2181818181818181,0.2,0.2321428571428571,0.0821917808219178,0.074074074074074,0.0983606557377049,0.9210526315789472,0.9473684210526316,0.0,-0.0147058823529412,0.0,-0.020408163265306,-0.0307692307692307,-0.0147058823529411,8,8,1.0,stable_but_weak_or_redundant
MLP27,Primary Writer MLP,139,0.3793103448275862,0.358974358974359,0.3939393939393939,0.3035714285714285,0.2962962962962963,0.3111111111111111,0.8987341772151899,0.945945945945946,0.0,-0.0147058823529411,0.0144927536231883,-0.0227272727272727,-0.0327868852459015,-0.0082644628099173,9,4,1.0,stable_but_weak_or_redundant
MLP11,Aux MLP,139,0.1,0.0789473684210526,0.1311475409836065,0.109090909090909,0.0983606557377049,0.1323529411764706,0.8977272727272727,0.9111111111111112,0.0151515151515151,0.0084033613445378,0.0185185185185186,0.0151515151515151,0.0,0.0185185185185186,6,10,0.6666666666666666,unstable_weak
MLP20,Aux MLP,139,0.1147540983606557,0.1041666666666666,0.1296296296296296,0.0579710144927536,0.0483870967741935,0.0714285714285714,0.945945945945946,0.9594594594594594,-0.0327868852459016,-0.0425531914893616,-0.0250000000000001,-0.0370370370370369,-0.0425531914893616,-0.0270270270270269,10,9,0.6666666666666666,unstable_weak
